Pais,Corredor,Lugar,Genero,Edad,Tiempo
GBR,3475,3592,Male,52,217.4833333
NY,13594,13853,Female,40,272.55
FRA,12012,12256,Male,31,265.2833333
MI,10236,10457,Female,33,256.15
NY,9476,9686,Male,33,252.25
NJ,1720,1784,Male,40,201.9666667
CA,15736,16020,Female,30,283.5666667
GBR,10580,10805,Male,27,255.8833333
NED,11957,12201,Male,42,264.25
B.C,18933,19266,Male,48,306.6833333
GBR,14956,15229,Female,63,281.2666667
ITA,14987,15260,Male,49,280.25
NY,10447,10670,Male,33,258.3333333
NY,10435,10658,Male,43,257.1333333
GER,191,200,Male,40,163.9333333
NY,9962,10178,Male,33,253.6166667
FRA,2379,2467,Male,40,206.2666667
NY,10505,10729,Male,36,257.9333333
SWE,11853,12093,Male,49,262.1333333
NY,12181,12428,Female,34,264.2166667
DEN,2633,2730,Male,26,209.7333333
NED,11935,12179,Male,50,265.25
NJ,20116,20460,Male,33,315.2333333
FL,23043,23413,Male,71,414.7
GER,19584,19921,Female,39,309.2666667
GBR,11640,11878,Female,28,261.2666667
GBR,17363,17683,Male,52,295.3166667
NED,17611,17933,Male,28,294.8333333
CA,9935,10151,Male,52,254.25
BRA,8713,8915,Male,41,248.95
VA,204,213,Male,35,164.5
NY,21293,21647,Female,39,334.0166667
FRA,2624,2721,Male,48,210.9
NED,14357,14623,Male,33,271.0666667
MA,4583,4715,Male,35,226.4666667
PR,10059,10277,Male,46,256.7166667
NY,12379,12630,Male,30,264.8333333
KY,3633,3751,Male,42,219.1333333
ITA,6695,6867,Male,31,237.7
IL,711,737,Male,40,184.3
NY,10746,10972,Male,41,253.75
NY,12716,12968,Male,33,267.4666667
NY,17454,17775,Male,37,289.6166667
RSA,10114,10333,Female,25,256.9666667
GBR,16764,17068,Male,39,288.0333333
NY,14424,14690,Male,34,277.4
NY,19915,20253,Female,42,316.3333333
ITA,13047,13301,Male,44,271.3666667
MA,8626,8827,Male,45,248.0833333
NY,805,836,Male,30,186.45
CA,6955,7132,Male,33,237.2
CAN,20135,20479,Female,39,318.6333333
GA,23128,23499,Male,67,431.6166667
GBR,4833,4969,Male,35,227.0166667
NY,22111,22469,Female,42,353.1
MA,15975,16264,Female,30,284.0166667
NY,22968,23338,Female,31,407.4333333
FRA,9482,9692,Male,44,252.6333333
MEX,15726,16010,Male,44,283.75
GBR,3388,3502,Female,38,218.3833333
MEX,2504,2596,Male,27,207.0166667
NY,23231,23603,Female,58,467.1833333
NY,5755,5909,Male,36,231.4166667
NED,12426,12677,Male,36,265.1333333
CT,488,507,Male,33,177.3666667
NY,16982,17290,Male,40,292.1333333
NY,5918,6077,Female,28,234.2
NY,12031,12275,Female,32,264.5
FRA,3855,3979,Male,36,221.3833333
NY,8902,9104,Female,23,247.3166667
MA,6523,6693,Male,33,236.2333333
NY,6080,6240,Male,42,235.7333333
GBR,15601,15883,Male,41,284.25
MEX,5617,5768,Female,40,232.3833333
GBR,11867,12107,Male,40,265.1166667
ITA,5179,5322,Male,33,230.4166667
KOR,20590,20939,Female,25,327.1666667
GBR,20343,20690,Male,27,321.55
MEX,12955,13208,Male,51,268.9666667
SWE,10601,10826,Female,56,258.5333333
GER,8855,9057,Male,48,249.2666667
NY,20719,21068,Male,33,326.9333333
GER,12715,12967,Male,51,268.1833333
RSA,10962,11191,Male,51,256.9833333
NY,11270,11503,Male,32,256.5
NY,11860,12100,Female,32,263.85
FRA,15203,15480,Male,69,276.5
ITA,18838,19171,Male,44,306.4166667
GBR,6981,7158,Female,38,239.55
GBR,11141,11372,Female,31,259.2
NED,14695,14966,Male,53,277.6833333
MO,4450,4582,Male,44,219.7666667
NY,4675,4808,Male,44,227.2
NM,13346,13602,Male,51,272.2166667
NY,400,417,Male,33,175.3666667
GBR,10217,10437,Female,41,254.5333333
NY,4993,5131,Male,33,226.7666667
NY,3476,3593,Male,32,219.05
NZL,1927,1996,Male,30,204.6333333
GBR,18859,19192,Male,40,305.2833333
NY,11424,11659,Male,60,262.7666667
LAN,6944,7121,Male,42,238.95
JPN,20992,21344,Female,65,328.9333333
GER,358,371,Male,26,173.6
GER,16106,16397,Female,38,287.6333333
ITA,22743,23112,Male,81,389
NJ,4784,4919,Male,31,226.8
NY,5647,5798,Female,33,229.3166667
FRA,7941,8133,Male,61,244.3
NY,15924,16212,Female,40,284.8166667
IL,6091,6251,Male,32,234.5833333
ESP,510,532,Male,66,178.5833333
NY,11198,11430,Male,59,262.6833333
FRA,11001,11230,Male,40,259.2333333
MI,8706,8908,Male,43,247.95
MEX,23003,23373,Male,18,408.3333333
ITA,535,558,Male,60,179.5166667
GBR,22810,23180,Female,36,394.0833333
NJ,9022,9224,Male,44,251.3666667
MI,1389,1441,Male,34,197.2
CAN,5362,5508,Male,41,230.35
PA,13266,13522,Male,44,268.4166667
NY,4904,5041,Male,25,228.2833333
FRA,8486,8685,Female,21,248.0333333
SUI,495,517,Male,32,177.7166667
NY,12666,12918,Male,38,266.8333333
NY,17051,17360,Male,33,291.3833333
OR,2519,2613,Female,22,209.0666667
TX,22508,22873,Female,33,369.35
FL,20736,21085,Male,61,326.7
NY,11393,11627,Male,33,258.0333333
LA,22565,22932,Female,41,371.9833333
NY,20645,20994,Male,45,325.95
CAN,9649,9862,Female,34,252.3666667
GBR,16182,16475,Male,36,286.8166667
ITA,493,515,Male,29,177.6333333
NY,20643,20992,Male,43,326.05
FL,14963,15236,Male,21,276.65
DEN,8556,8756,Male,52,246.9666667
NY,4751,4885,Female,41,225.0833333
FRA,13853,14115,Male,59,273.9833333
SUI,13539,13798,Male,56,271.9666667
NY,14262,14528,Male,31,270.6666667
NY,1688,1752,Male,43,201.95
GER,13459,13718,Female,27,270.05
NJ,20009,20350,Female,28,320.5333333
FRA,6444,6613,Male,54,236.4333333
NJ,10527,10752,Male,38,258
MA,8526,8725,Male,31,247.4166667
VEN,11896,12137,Male,44,264.9166667
FRA,854,885,Male,40,187.4166667
FRA,956,991,Male,35,189.4666667
NY,23145,23516,Male,76,430.8166667
NY,23094,23464,Male,51,426.8833333
NY,17753,18076,Male,51,297.2
NY,23230,23602,Male,73,460.8
GA,17141,17454,Female,53,289.2666667
NED,13212,13468,Female,29,271.0666667
MEX,4447,4579,Male,42,223.05
NY,10115,10334,Female,44,256.4833333
CA,21284,21638,Male,43,332.2333333
FL,16809,17113,Female,33,290.3
FRA,8510,8709,Male,47,247.9333333
NJ,1525,1583,Male,53,199.5833333
GBR,22073,22431,Female,32,353.2166667
TX,22509,22874,Female,51,369.35
FRA,19034,19366,Female,34,307.5333333
NY,6555,6725,Female,36,235.0833333
GBR,18172,18501,Male,40,299.1333333
ITA,5076,5215,Male,48,229.5166667
PER,13184,13440,Male,31,271.3666667
NY,14170,14436,Male,30,274.4333333
IL,9746,9959,Male,30,251.85
GA,11733,11973,Male,31,261.8333333
NY,6656,6828,Female,25,238.3333333
IRL,23143,23514,Male,38,433.8833333
GBR,3849,3972,Female,44,220.25
GER,6407,6576,Male,53,231.8
NY,6593,6763,Male,38,237.5333333
NJ,8282,8480,Female,42,244.95
JPN,20669,21018,Male,70,322.9833333
MEX,8622,8823,Female,20,244.8833333
NJ,5933,6092,Male,51,234.0166667
MN,13819,14081,Male,29,272.9833333
MN,11619,11857,Male,31,259.6166667
FRA,9254,9457,Male,42,251.7833333
IL,14824,15096,Female,33,280.0666667
NY,22506,22871,Female,32,370.6
DC,14304,14570,Female,26,277.6
FRA,14356,14622,Male,51,277.6833333
NED,9697,9910,Male,53,253.2833333
NY,13837,14099,Female,28,274.8833333
NJ,20516,20863,Female,24,324.15
CA,21476,21831,Female,42,341.7666667
NY,22009,22365,Female,34,350.25
TN,17221,17535,Female,55,295.5
NC,8023,8216,Female,40,245.5166667
GBR,17013,17322,Male,29,293.6666667
GA,18786,19119,Male,33,302.55
MA,14521,14787,Female,30,275.1
NY,15389,15669,Male,41,282.6
NY,21214,21568,Male,22,330.5666667
DC,8057,8250,Male,33,242.15
FIN,253,265,Male,29,168.1833333
NJ,8439,8638,Male,42,244.7166667
MA,8107,8300,Female,32,246.2666667
CA,14984,15257,Female,20,278.8
FRA,347,359,Male,38,173.15
JPN,14856,15129,Female,30,279.8166667
NED,2971,3077,Female,34,214.6333333
GBR,14637,14906,Male,35,278.2166667
NJ,7947,8139,Female,30,244.7666667
TX,12609,12861,Female,44,268.0666667
FRA,13101,13355,Male,51,269.95
NY,1259,1306,Male,44,195.35
CA,13296,13552,Female,43,272.4
CAN,14312,14578,Male,49,276.7833333
MA,1544,1603,Male,42,198.2166667
NY,13172,13427,Male,32,272.0166667
PA,18088,18417,Female,35,298.35
NY,11741,11981,Female,38,262.6833333
NED,20901,21253,Male,39,330.6166667
NOR,12110,12354,Female,48,265.4
CT,9335,9541,Male,36,253.3
FRA,4648,4781,Male,56,224.65
CT,17361,17681,Female,31,295.7166667
NJ,16803,17107,Female,30,291.0666667
FL,3460,3577,Male,33,218.2833333
FL,17478,17799,Male,52,289.7
GBR,6932,7109,Male,23,238.2333333
NED,10380,10603,Male,39,251.0833333
NY,22333,22694,Male,49,366.5833333
CA,7087,7267,Male,32,238.25
NY,2176,2255,Female,32,207.15
ITA,19716,20054,Male,29,313.3
ITA,19305,19641,Male,33,310.7166667
GBR,6398,6567,Male,54,235.5333333
FRA,12038,12282,Male,36,265.5
VEN,4300,4429,Male,38,224.7166667
NY,837,868,Male,40,186.9166667
OH,7035,7215,Male,33,239.0666667
CA,18565,18895,Female,32,300.0166667
DEN,13022,13276,Male,40,270.0333333
JPN,623,646,Male,24,181.9
NJ,19271,19607,Male,41,305.95
IRL,23180,23551,Female,48,439.8333333
NJ,2003,2075,Male,33,205.2666667
ESP,17850,18175,Male,67,296.6333333
CA,10742,10968,Female,22,258.7
,18260,18589,Male,5,302.6833333
NY,15161,15436,Female,40,281.1333333
ITA,5120,5260,Male,56,230.05
NY,8987,9189,Female,30,248.7666667
NY,5134,5276,Male,26,227.8
NY,10474,10698,Male,53,258.15
NED,14177,14443,Female,38,272.15
FRA,7855,8043,Male,41,243.6
OR,16822,17127,Male,54,290.6166667
NY,18998,19330,Male,43,306.2833333
NY,17059,17368,Female,24,288.55
ITA,991,1028,Male,34,189.8166667
FL,10860,11088,Female,40,257.7833333
NY,10593,10818,Male,27,259.2833333
NY,23221,23593,Male,51,454.65
NY,2806,2906,Male,23,212.65
OH,4576,4708,Female,43,223.4333333
MO,15630,15912,Male,41,285.6166667
MA,13884,14146,Male,40,270.0666667
FRA,8782,8984,Male,47,247.1333333
IRL,10116,10335,Male,21,256.2
GBR,7241,7424,Female,30,239.4166667
FL,4528,4660,Male,33,226.2333333
GBR,22746,23115,Female,20,387.4
NY,16932,17239,Male,55,293.0166667
NY,6007,6166,Male,32,233.4833333
NY,9897,10112,Female,31,250.4333333
MA,20111,20455,Female,31,316.7
NJ,16376,16670,Male,31,288.8166667
NJ,13256,13512,Male,36,272.4666667
JPN,10377,10600,Female,36,258.3333333
ARG,20137,20481,Male,72,321.8666667
LA,22695,23063,Male,41,382.9333333
NY,18666,18997,Male,58,305.7333333
GBR,13718,13979,Male,32,272.5666667
NY,13120,13374,Female,35,271.4
ITA,20511,20858,Male,42,321.35
NY,1943,2012,Female,30,204.9333333
NY,13451,13710,Male,33,272.8166667
GER,3563,3681,Male,44,217.4666667
NY,17033,17342,Female,32,287.8666667
NED,17444,17765,Male,38,293.05
PA,2691,2789,Male,32,210.65
CHI,3265,3378,Male,48,217.35
AUS,6231,6395,Male,38,230.75
NJ,6766,6940,Male,31,237.8833333
NY,3910,4034,Male,32,221.15
NJ,22578,22945,Female,33,379.85
NJ,22829,23199,Male,37,398.2666667
NY,15360,15639,Male,50,283.7833333
PR,1014,1054,Male,52,191.05
BEL,16775,17079,Female,33,290.3333333
MA,5550,5701,Male,32,230.1
GBR,5942,6101,Male,22,233.3833333
NY,6233,6397,Male,43,235.4833333
GA,19089,19422,Male,34,304.9666667
MEX,13834,14096,Male,46,273.5166667
NY,19636,19973,Male,34,315.75
MEX,5817,5974,Male,49,234.3166667
CAN,4517,4649,Male,31,225.2833333
DEN,9747,9960,Male,58,254.2166667
GBR,23149,23520,Female,32,434.1833333
VA,6742,6915,Male,42,238.85
ITA,5731,5883,Male,43,233.75
IL,10932,11160,Male,43,258.9166667
CA,11627,11865,Male,41,262.3666667
NJ,7895,8087,Male,30,244.05
GER,18618,18949,Male,66,302.5166667
FRA,21125,21478,Female,53,330.0666667
TX,22241,22599,Male,30,359.45
NJ,19826,20164,Female,31,316.0333333
CA,22979,23349,Female,31,404.55
NY,2452,2543,Male,33,208.7833333
NY,3565,3683,Female,30,219.5
NY,5192,5335,Male,33,229.35
NY,6552,6722,Male,24,230.5333333
MI,19912,20250,Male,70,318.05
NY,5705,5857,Female,27,233.45
