Material,Sector,Gross_Export,Pais
Horses,Agriculture,12961946,Estados Unidos
Bovine,Agriculture,794762187,Estados Unidos
Other live animals,Agriculture,2436228,Estados Unidos
Beef,Agriculture,967012992,Estados Unidos
Beef (frozen),Agriculture,73642356,Estados Unidos
Pork,Agriculture,63372027,Estados Unidos
Lamb,Agriculture,2247237,Estados Unidos
Edible offal,Agriculture,47958904,Estados Unidos
Preserved meat,Agriculture,38228,Estados Unidos
Live Fish,Agriculture,205541,Estados Unidos
Fish_ excluding fillets,Agriculture,122992729,Estados Unidos
Frozen fish_ excluding fillets,Agriculture,19689249,Estados Unidos
Fish fillets,Agriculture,50880651,Estados Unidos
Preserved fish,Agriculture,982939,Estados Unidos
Crustaceans,Agriculture,305400226,Estados Unidos
Molluscs,Agriculture,30623184,Estados Unidos
Milk,Agriculture,9289745,Estados Unidos
Milk_ concentrated,Agriculture,33956849,Estados Unidos
Fermented milk products,Agriculture,2279734,Estados Unidos
Whey,Agriculture,5592,Estados Unidos
Butter,Agriculture,45073512,Estados Unidos
Cheese,Agriculture,16122005,Estados Unidos
Honey,Agriculture,12697422,Estados Unidos
Edible animal products_ n.e.c.,Agriculture,13282,Estados Unidos
Animal guts_ except fish,Agriculture,334902,Estados Unidos
Bones_ simply prepared,Agriculture,692454,Estados Unidos
Coral and shells,Agriculture,1785436,Estados Unidos
Animal products used in pharmaceuticals,Agriculture,25377,Estados Unidos
Animal products n.e.c.,Agriculture,70084234,Estados Unidos
Flower bulbs,Agriculture,32294,Estados Unidos
Other live plants,Agriculture,15391502,Estados Unidos
Cut flowers,Agriculture,30077644,Estados Unidos
Other parts of plants,Agriculture,12142625,Estados Unidos
Tomatoes,Agriculture,2065582976,Estados Unidos
Onions_ shallots_ garlic,Agriculture,329426226,Estados Unidos
Cabbages_ cauliflowers_ broccoli,Agriculture,381597760,Estados Unidos
Lettuce,Agriculture,238167994,Estados Unidos
Carrots & turnips,Agriculture,79057768,Estados Unidos
Cucumbers,Agriculture,520725408,Estados Unidos
Legumes,Agriculture,106305310,Estados Unidos
Other vegetables,Agriculture,2130918262,Estados Unidos
Frozen vegetables,Agriculture,464336353,Estados Unidos
Vegetables_ provisionally preserved,Agriculture,10314313,Estados Unidos
Vegetables_ dried,Agriculture,7486290,Estados Unidos
Legumes_ dried,Agriculture,34265707,Estados Unidos
Tubers,Agriculture,1521556,Estados Unidos
Cashew nuts & coconuts,Agriculture,16086240,Estados Unidos
Other nuts,Agriculture,840065954,Estados Unidos
Bananas and plantains,Agriculture,236847456,Estados Unidos
Avocados_ pineapples_ mangos_ etc.,Agriculture,2438806247,Estados Unidos
Citrus fruit,Agriculture,552212416,Estados Unidos
Grapes,Agriculture,404903953,Estados Unidos
Melons and papayas,Agriculture,420400864,Estados Unidos
Apples & pears,Agriculture,241881,Estados Unidos
Peaches & cherries,Agriculture,163470,Estados Unidos
Other fresh fruit,Agriculture,2045945608,Estados Unidos
Fruits and nuts_ frozen,Agriculture,201064420,Estados Unidos
Fruits and nuts_ provisionally preserved,Agriculture,42740,Estados Unidos
Fruits_ dried,Agriculture,7145017,Estados Unidos
Peel of citrus fruit or melons,Agriculture,700470,Estados Unidos
Coffee,Agriculture,222635723,Estados Unidos
Tea,Agriculture,384042,Estados Unidos
Pepper,Agriculture,66375203,Estados Unidos
Vanilla,Agriculture,398474,Estados Unidos
Cinnamon,Agriculture,29579,Estados Unidos
Nutmeg,Agriculture,3994,Estados Unidos
Anise_ fennel_ etc.,Agriculture,93277,Estados Unidos
Spices,Agriculture,10603567,Estados Unidos
Oats,Agriculture,5129,Estados Unidos
Corn,Agriculture,19000086,Estados Unidos
Rice,Agriculture,1379970,Estados Unidos
Grain sorghum,Agriculture,376179,Estados Unidos
Other cereals,Agriculture,3794,Estados Unidos
Wheat or meslin flour,Agriculture,3661966,Estados Unidos
Cereal flours,Agriculture,76930737,Estados Unidos
Cereal meals,Agriculture,9610763,Estados Unidos
Worked cereal grains,Agriculture,100004,Estados Unidos
Potato flour,Agriculture,947202,Estados Unidos
Flour of dried legumes,Agriculture,2773384,Estados Unidos
Starches,Agriculture,8128298,Estados Unidos
Soya beans,Agriculture,4515,Estados Unidos
Peanuts,Agriculture,3555778,Estados Unidos
Linseed,Agriculture,34256,Estados Unidos
Sunflower seeds,Agriculture,22675,Estados Unidos
Other oil seeds,Agriculture,14732389,Estados Unidos
Flours of oil seeds,Agriculture,671775,Estados Unidos
Seeds used for sowing,Agriculture,12116944,Estados Unidos
Plants used in perfumery_ pharmacy or insecticide,Agriculture,40903580,Estados Unidos
Seaweeds & edible vegetable products,Agriculture,4076030,Estados Unidos
Cereal straw and husks,Agriculture,26763,Estados Unidos
Forage products,Agriculture,12441396,Estados Unidos
Lac,Agriculture,55779,Estados Unidos
Vegetable saps and extracts,Agriculture,57577610,Estados Unidos
Vegetable materials used for plaiting,Agriculture,107012,Estados Unidos
Vegetable products n.e.c.,Agriculture,36402020,Estados Unidos
Pig and poultry fat_ rendered,Agriculture,883416,Estados Unidos
Fish oils,Agriculture,301835,Estados Unidos
Wool grease,Agriculture,1026100,Estados Unidos
Soybean oil,Agriculture,4514301,Estados Unidos
Peanut oil,Agriculture,393183,Estados Unidos
Olive oil,Agriculture,68791,Estados Unidos
Palm oil,Agriculture,1205066,Estados Unidos
Sunflower seed oil,Agriculture,23684981,Estados Unidos
Coconut & palm kernel oil,Agriculture,766483,Estados Unidos
Rapeseed_ colza or mustard oil_,Agriculture,2365917,Estados Unidos
Other vegetable fats and oils,Agriculture,124933231,Estados Unidos
Vegetable fats_ hydrogenated,Agriculture,499680,Estados Unidos
Margarine,Agriculture,29900497,Estados Unidos
Animal or vegetable fats and oils_ processed,Agriculture,1253452,Estados Unidos
Stearic acid,Agriculture,752845,Estados Unidos
Glycerol,Agriculture,18766,Estados Unidos
Vegetable waxes and beeswax,Agriculture,4984230,Estados Unidos
Sausages,Agriculture,762714,Estados Unidos
Other prepared or preserved meat,Agriculture,32947190,Estados Unidos
Extracts and juices of meat or fish,Agriculture,1085577,Estados Unidos
Prepared or preserved fish,Agriculture,24488344,Estados Unidos
Prepared aquatic invertibrates,Agriculture,68694119,Estados Unidos
Sugarcane & sucrose,Agriculture,645096716,Estados Unidos
Other sugars,Agriculture,85152155,Estados Unidos
Molasses,Agriculture,5272561,Estados Unidos
Confectionery sugar,Agriculture,613547080,Estados Unidos
Cocoa beans,Agriculture,170810,Estados Unidos
Cocoa paste,Agriculture,305872,Estados Unidos
Cocoa butter,Agriculture,924162,Estados Unidos
Cocoa powder,Agriculture,250958,Estados Unidos
Chocolates,Agriculture,483000862,Estados Unidos
Malt extract,Agriculture,49204393,Estados Unidos
Pasta,Agriculture,29519534,Estados Unidos
Cereal foods,Agriculture,128209078,Estados Unidos
Bakery products,Agriculture,1151903709,Estados Unidos
Pickled fruits and vegetables,Agriculture,169307589,Estados Unidos
Tomatoes_ prepared or preserved,Agriculture,3078431,Estados Unidos
Mushrooms_ prepared or preserved,Agriculture,249127,Estados Unidos
Other vegetables_ frozen,Agriculture,79941764,Estados Unidos
Other vegetables_ prepared or preserved,Agriculture,122463110,Estados Unidos
Vegetables_ fruits and nuts_ preserved by sugar,Agriculture,1485528,Estados Unidos
Jams_ jellies and marmalades,Agriculture,26196290,Estados Unidos
Fruits and nuts_ otherwise prepared,Agriculture,582891432,Estados Unidos
Fruit juices,Agriculture,435636481,Estados Unidos
Coffee extracts,Agriculture,90145857,Estados Unidos
Yeasts,Agriculture,76734900,Estados Unidos
Sauces and seasonings,Agriculture,217270744,Estados Unidos
Soups and broths,Agriculture,25082760,Estados Unidos
Ice cream,Agriculture,3214372,Estados Unidos
Food preparations n.e.c.,Agriculture,92058841,Estados Unidos
Waters,Agriculture,56188117,Estados Unidos
Waters_ flavored or sweetened,Agriculture,363511776,Estados Unidos
Beer,Agriculture,3537565952,Estados Unidos
Wine,Agriculture,2487686,Estados Unidos
Other fermented beverages,Agriculture,2208394,Estados Unidos
Ethyl alcohol > 80%,Agriculture,889874,Estados Unidos
Spirits < 80% alcohol,Agriculture,1498372645,Estados Unidos
Vinegars,Agriculture,16586,Estados Unidos
Flours of fish_ for animal feed,Agriculture,11950926,Estados Unidos
Cereal residues,Agriculture,179698,Estados Unidos
Starch residues,Agriculture,36761,Estados Unidos
Solid soybean residues,Agriculture,8009,Estados Unidos
Solid vegetable oil and fat residues,Agriculture,45805,Estados Unidos
Vegetable materials for animal feeding,Agriculture,26586,Estados Unidos
Animal feed,Agriculture,14885263,Estados Unidos
Unmanufactured tobacco,Agriculture,11376446,Estados Unidos
Cigars and cigarettes,Agriculture,149810002,Estados Unidos
Other manufactured tobacco,Agriculture,6365369,Estados Unidos
Salt,Minerals,48994164,Estados Unidos
Sulphur_ crude,Minerals,11552,Estados Unidos
Natural graphite,Minerals,5568959,Estados Unidos
Natural sands,Minerals,939416,Estados Unidos
Quartz,Minerals,33279,Estados Unidos
Kaolin,Minerals,53496,Estados Unidos
Clays,Minerals,4488687,Estados Unidos
Natural barium sulfate,Minerals,34994140,Estados Unidos
Siliceous fossil meals and earths,Minerals,983900,Estados Unidos
Natural abrasives,Minerals,1866729,Estados Unidos
Marble,Minerals,58656,Estados Unidos
Granite,Minerals,77862,Estados Unidos
Gravel,Minerals,65378518,Estados Unidos
Natural magnesia,Minerals,10852237,Estados Unidos
Gypsum,Minerals,43486166,Estados Unidos
Quicklime,Minerals,5557720,Estados Unidos
Cements,Minerals,105817171,Estados Unidos
Mica,Minerals,2673,Estados Unidos
Natural steatite,Minerals,7161,Estados Unidos
