Corredor,place,gender,age,home,time
3475,3592,Male,52,GBR,217.4833333
13594,13853,Female,40,NY,272.55
12012,12256,Male,31,FRA,265.2833333
10236,10457,Female,33,MI,256.15
9476,9686,Male,33,NY,252.25
1720,1784,Male,40,NJ,201.9666667
15736,16020,Female,30,CA,283.5666667
10580,10805,Male,27,GBR,255.8833333
11957,12201,Male,42,NED,264.25
18933,19266,Male,48,B.C,306.6833333
14956,15229,Female,63,GBR,281.2666667
14987,15260,Male,49,ITA,280.25
10447,10670,Male,33,NY,258.3333333
10435,10658,Male,43,NY,257.1333333
191,200,Male,40,GER,163.9333333
9962,10178,Male,33,NY,253.6166667
2379,2467,Male,40,FRA,206.2666667
10505,10729,Male,36,NY,257.9333333
11853,12093,Male,49,SWE,262.1333333
12181,12428,Female,34,NY,264.2166667
2633,2730,Male,26,DEN,209.7333333
11935,12179,Male,50,NED,265.25
20116,20460,Male,33,NJ,315.2333333
23043,23413,Male,71,FL,414.7
19584,19921,Female,39,GER,309.2666667
11640,11878,Female,28,GBR,261.2666667
17363,17683,Male,52,GBR,295.3166667
17611,17933,Male,28,NED,294.8333333
9935,10151,Male,52,CA,254.25
8713,8915,Male,41,BRA,248.95
204,213,Male,35,VA,164.5
21293,21647,Female,39,NY,334.0166667
2624,2721,Male,48,FRA,210.9
14357,14623,Male,33,NED,271.0666667
4583,4715,Male,35,MA,226.4666667
10059,10277,Male,46,PR,256.7166667
12379,12630,Male,30,NY,264.8333333
3633,3751,Male,42,KY,219.1333333
6695,6867,Male,31,ITA,237.7
711,737,Male,40,IL,184.3
10746,10972,Male,41,NY,253.75
12716,12968,Male,33,NY,267.4666667
17454,17775,Male,37,NY,289.6166667
10114,10333,Female,25,RSA,256.9666667
16764,17068,Male,39,GBR,288.0333333
14424,14690,Male,34,NY,277.4
19915,20253,Female,42,NY,316.3333333
13047,13301,Male,44,ITA,271.3666667
8626,8827,Male,45,MA,248.0833333
805,836,Male,30,NY,186.45
6955,7132,Male,33,CA,237.2
20135,20479,Female,39,CAN,318.6333333
23128,23499,Male,67,GA,431.6166667
4833,4969,Male,35,GBR,227.0166667
22111,22469,Female,42,NY,353.1
15975,16264,Female,30,MA,284.0166667
22968,23338,Female,31,NY,407.4333333
9482,9692,Male,44,FRA,252.6333333
15726,16010,Male,44,MEX,283.75
3388,3502,Female,38,GBR,218.3833333
2504,2596,Male,27,MEX,207.0166667
23231,23603,Female,58,NY,467.1833333
5755,5909,Male,36,NY,231.4166667
12426,12677,Male,36,NED,265.1333333
488,507,Male,33,CT,177.3666667
16982,17290,Male,40,NY,292.1333333
5918,6077,Female,28,NY,234.2
12031,12275,Female,32,NY,264.5
3855,3979,Male,36,FRA,221.3833333
8902,9104,Female,23,NY,247.3166667
6523,6693,Male,33,MA,236.2333333
6080,6240,Male,42,NY,235.7333333
15601,15883,Male,41,GBR,284.25
5617,5768,Female,40,MEX,232.3833333
11867,12107,Male,40,GBR,265.1166667
5179,5322,Male,33,ITA,230.4166667
20590,20939,Female,25,KOR,327.1666667
20343,20690,Male,27,GBR,321.55
12955,13208,Male,51,MEX,268.9666667
10601,10826,Female,56,SWE,258.5333333
8855,9057,Male,48,GER,249.2666667
20719,21068,Male,33,NY,326.9333333
12715,12967,Male,51,GER,268.1833333
10962,11191,Male,51,RSA,256.9833333
11270,11503,Male,32,NY,256.5
11860,12100,Female,32,NY,263.85
15203,15480,Male,69,FRA,276.5
18838,19171,Male,44,ITA,306.4166667
6981,7158,Female,38,GBR,239.55
11141,11372,Female,31,GBR,259.2
14695,14966,Male,53,NED,277.6833333
4450,4582,Male,44,MO,219.7666667
4675,4808,Male,44,NY,227.2
13346,13602,Male,51,NM,272.2166667
400,417,Male,33,NY,175.3666667
10217,10437,Female,41,GBR,254.5333333
4993,5131,Male,33,NY,226.7666667
3476,3593,Male,32,NY,219.05
1927,1996,Male,30,NZL,204.6333333
18859,19192,Male,40,GBR,305.2833333
11424,11659,Male,60,NY,262.7666667
6944,7121,Male,42,LAN,238.95
20992,21344,Female,65,JPN,328.9333333
358,371,Male,26,GER,173.6
16106,16397,Female,38,GER,287.6333333
22743,23112,Male,81,ITA,389
4784,4919,Male,31,NJ,226.8
5647,5798,Female,33,NY,229.3166667
7941,8133,Male,61,FRA,244.3
15924,16212,Female,40,NY,284.8166667
6091,6251,Male,32,IL,234.5833333
510,532,Male,66,ESP,178.5833333
11198,11430,Male,59,NY,262.6833333
11001,11230,Male,40,FRA,259.2333333
8706,8908,Male,43,MI,247.95
23003,23373,Male,18,MEX,408.3333333
535,558,Male,60,ITA,179.5166667
22810,23180,Female,36,GBR,394.0833333
9022,9224,Male,44,NJ,251.3666667
1389,1441,Male,34,MI,197.2
5362,5508,Male,41,CAN,230.35
13266,13522,Male,44,PA,268.4166667
4904,5041,Male,25,NY,228.2833333
8486,8685,Female,21,FRA,248.0333333
495,517,Male,32,SUI,177.7166667
12666,12918,Male,38,NY,266.8333333
17051,17360,Male,33,NY,291.3833333
2519,2613,Female,22,OR,209.0666667
22508,22873,Female,33,TX,369.35
20736,21085,Male,61,FL,326.7
11393,11627,Male,33,NY,258.0333333
22565,22932,Female,41,LA,371.9833333
20645,20994,Male,45,NY,325.95
9649,9862,Female,34,CAN,252.3666667
16182,16475,Male,36,GBR,286.8166667
493,515,Male,29,ITA,177.6333333
20643,20992,Male,43,NY,326.05
14963,15236,Male,21,FL,276.65
8556,8756,Male,52,DEN,246.9666667
4751,4885,Female,41,NY,225.0833333
13853,14115,Male,59,FRA,273.9833333
13539,13798,Male,56,SUI,271.9666667
14262,14528,Male,31,NY,270.6666667
1688,1752,Male,43,NY,201.95
13459,13718,Female,27,GER,270.05
20009,20350,Female,28,NJ,320.5333333
6444,6613,Male,54,FRA,236.4333333
10527,10752,Male,38,NJ,258
8526,8725,Male,31,MA,247.4166667
11896,12137,Male,44,VEN,264.9166667
854,885,Male,40,FRA,187.4166667
956,991,Male,35,FRA,189.4666667
23145,23516,Male,76,NY,430.8166667
23094,23464,Male,51,NY,426.8833333
17753,18076,Male,51,NY,297.2
23230,23602,Male,73,NY,460.8
17141,17454,Female,53,GA,289.2666667
13212,13468,Female,29,NED,271.0666667
4447,4579,Male,42,MEX,223.05
10115,10334,Female,44,NY,256.4833333
21284,21638,Male,43,CA,332.2333333
16809,17113,Female,33,FL,290.3
8510,8709,Male,47,FRA,247.9333333
1525,1583,Male,53,NJ,199.5833333
22073,22431,Female,32,GBR,353.2166667
22509,22874,Female,51,TX,369.35
19034,19366,Female,34,FRA,307.5333333
6555,6725,Female,36,NY,235.0833333
18172,18501,Male,40,GBR,299.1333333
5076,5215,Male,48,ITA,229.5166667
13184,13440,Male,31,PER,271.3666667
14170,14436,Male,30,NY,274.4333333
9746,9959,Male,30,IL,251.85
11733,11973,Male,31,GA,261.8333333
6656,6828,Female,25,NY,238.3333333
23143,23514,Male,38,IRL,433.8833333
3849,3972,Female,44,GBR,220.25
6407,6576,Male,53,GER,231.8
6593,6763,Male,38,NY,237.5333333
8282,8480,Female,42,NJ,244.95
20669,21018,Male,70,JPN,322.9833333
8622,8823,Female,20,MEX,244.8833333
5933,6092,Male,51,NJ,234.0166667
13819,14081,Male,29,MN,272.9833333
11619,11857,Male,31,MN,259.6166667
9254,9457,Male,42,FRA,251.7833333
14824,15096,Female,33,IL,280.0666667
22506,22871,Female,32,NY,370.6
14304,14570,Female,26,DC,277.6
14356,14622,Male,51,FRA,277.6833333
9697,9910,Male,53,NED,253.2833333
13837,14099,Female,28,NY,274.8833333
20516,20863,Female,24,NJ,324.15
21476,21831,Female,42,CA,341.7666667
22009,22365,Female,34,NY,350.25
17221,17535,Female,55,TN,295.5
8023,8216,Female,40,NC,245.5166667
17013,17322,Male,29,GBR,293.6666667
18786,19119,Male,33,GA,302.55
14521,14787,Female,30,MA,275.1
15389,15669,Male,41,NY,282.6
