Numero_de_empresas,PM10,PM2.5,SO2,CO,NOX,COV,NH3,CN
0,945,629,1814,235,843,1836,14,5
588,1978,1842,5588,6850,,11692,254,
27,1028,752,22890,505,,516,115,58
39,4527,3847,574973,8698,34132,3465,382,356
214,5063,3083,54592,2510,4845,3419,912,812
34,3360,,33287,9505,11015,4741,264,137
42,19963,16177,190970,24171,158743,6202,1220,
367,8207,4958,166476,1767,20578,1296,449,508
1569,1381,826,699,766,2217,21967,50,23
80,2971,,27144,2930,6645,3156,157,166
233,3810,2770,48462,74299,9249,10155,1137,171
8,8215,7725,104172,2327,11206,708,88,451
129,12532,8977,216611,115085,31484,7567,322,370
692,8768,5399,23897,3216,6323,15623,1983,1172
1232,5103,3627,6763,6244,15159,48140,233,187
151,5095,3460,13717,2856,4303,5379,1957,379
65,3133,,10141,1325,,2885,484,450
8,2913,1650,286,472,,1427,536,
480,9752,7074,35548,85330,,13498,511,337
20,9218,5838,111005,104373,,7383,3376,838
252,4556,2673,4558,2576,6335,3685,54,552
184,1510,1153,4444,2379,6916,5930,92,
11,2076,1199,566,349,512,866,387,348
132,14733,9472,86202,5083,,6327,1840,
62,7203,4623,106277,1209,10896,3119,763,
214,5063,3083,54592,2510,4845,3419,912,812
179,7986,5116,75004,3732,13328,4093,327,259
104,3612,2501,14118,6911,21139,6280,607,496
222,7572,6162,50158,69356,30307,30732,2071,324
94,307,211,1456,244,822,1216,10,
197,41938,25779,160835,81529,45656,26427,7877,5608
51,2108,1769,19008,2973,10184,3834,198,124
12,40,,,2,,193,0,
