,Pais,Poblacion,Categoria
1,Afghanistan,38928.341,20000 a 50000
2,Albania,2877.8,1000 a 20000
3,Algeria,43851.043,20000 a 50000
4,American Samoa,55.197,10 a 100
5,Andorra,77.265,10 a 100
6,Angola,32866.268,20000 a 50000
7,Anguilla,15.002,10 a 100
8,Antigua and Barbuda,97.928,10 a 100
9,Argentina,45195.777,20000 a 50000
10,Armenia,2963.234,1000 a 20000
11,Aruba,106.766,100 a 1000
12,Australia,25499.881,20000 a 50000
13,Austria,9006.4,1000 a 20000
14,Azerbaijan,10139.175,1000 a 20000
15,Bahamas,393.248,100 a 1000
16,Bahrain,1701.583,1000 a 20000
17,Bangladesh,164689.383,150000 a 250000
18,Barbados,287.371,100 a 1000
19,Belarus,9449.321,1000 a 20000
20,Belgium,11589.616,1000 a 20000
21,Belize,397.621,100 a 1000
22,Benin,12123.198,1000 a 20000
23,Bermuda,62.273,10 a 100
24,Bhutan,771.612,100 a 1000
25,Bolivia,11673.029,1000 a 20000
26,Bosnia and Herzegovina,3280.815,1000 a 20000
27,Botswana,2351.625,1000 a 20000
28,Brazil,212559.409,150000 a 250000
29,British Virgin Islands,30.237,10 a 100
30,Brunei Darussalam,437.483,100 a 1000
31,Bulgaria,6948.445,1000 a 20000
32,Burkina Faso,20903.278,20000 a 50000
33,Burundi,11890.781,1000 a 20000
34,Cambodia,16718.971,1000 a 20000
35,Cameroon,26545.864,20000 a 50000
36,Canada,37742.157,20000 a 50000
37,Cayman Islands,65.72,10 a 100
38,Central African Republic,4829.764,1000 a 20000
39,Chad,16425.859,1000 a 20000
40,Chile,19116.209,1000 a 20000
41,China,1439323.774,NA
42,Colombia,50882.884,50000 a 150000
43,Comoros,869.595,100 a 1000
44,Congo,5518.092,1000 a 20000
45,Cook Islands,17.564,10 a 100
46,Costa Rica,5094.114,1000 a 20000
47,Côte d'Ivoire,26378.275,20000 a 50000
48,Croatia,4105.268,1000 a 20000
49,Cuba,11326.616,1000 a 20000
50,Cyprus,1207.361,1000 a 20000
51,Czech Republic,10708.982,1000 a 20000
52,Democratic Republic of the Congo,89561.404,50000 a 150000
53,Denmark,5792.203,1000 a 20000
54,Djibouti,988.002,100 a 1000
55,Dominica,71.991,10 a 100
56,Dominican Republic,10847.904,1000 a 20000
57,Ecuador,17643.06,1000 a 20000
58,Egypt,102334.403,50000 a 150000
59,El Salvador,6486.201,1000 a 20000
60,Equatorial Guinea,1402.985,1000 a 20000
61,Eritrea,3546.427,1000 a 20000
62,Estonia,1326.539,1000 a 20000
63,Ethiopia,114963.583,50000 a 150000
64,Falkland Islands (Malvinas),3.483,1 a 10
65,Faroe Islands,48.865,10 a 100
66,Fiji,896.444,100 a 1000
67,Finland,5540.718,1000 a 20000
68,France,65273.512,50000 a 150000
69,French Guiana,298.682,100 a 1000
70,French Polynesia,280.904,100 a 1000
71,Gabon,2225.728,1000 a 20000
72,Gambia,2416.664,1000 a 20000
73,Georgia,3989.175,1000 a 20000
74,Germany,83783.945,50000 a 150000
75,Ghana,31072.945,20000 a 50000
76,Gibraltar,33.691,10 a 100
77,Greece,10423.056,1000 a 20000
78,Greenland,56.772,10 a 100
79,Grenada,112.519,100 a 1000
80,Guadeloupe,400.127,100 a 1000
81,Guam,168.783,100 a 1000
82,Guatemala,17915.567,1000 a 20000
83,Guinea,13132.792,1000 a 20000
84,Guinea-Bissau,1967.998,1000 a 20000
85,Guyana,786.559,100 a 1000
86,Haiti,11402.533,1000 a 20000
87,Holy See (Vatican City),0.809,1 a 10
88,Honduras,9904.608,1000 a 20000
89,Hong Kong,7496.988,1000 a 20000
90,Hungary,9660.35,1000 a 20000
91,Iceland,341.25,100 a 1000
92,India,1380004.385,NA
93,Indonesia,273523.621,250000 a 350000
94,Iran (Islamic Republic of),83992.953,50000 a 150000
95,Iraq,40222.503,20000 a 50000
96,Ireland,4937.796,1000 a 20000
97,Isle of Man,85.032,10 a 100
98,Israel,8655.541,1000 a 20000
99,Italy,60461.828,50000 a 150000
100,Jamaica,2961.161,1000 a 20000
101,Japan,126476.458,50000 a 150000
102,Jordan,10203.14,1000 a 20000
103,Kazakhstan,18776.707,1000 a 20000
104,Kenya,53771.3,50000 a 150000
105,Kiribati,119.446,100 a 1000
106,"Korea, Republic of",25778.815,20000 a 50000
107,Kuwait,4270.563,1000 a 20000
108,Kyrgyzstan,6524.191,1000 a 20000
109,Lao People's Democratic Republic,7275.556,1000 a 20000
110,Latvia,1886.202,1000 a 20000
111,Lebanon,6825.442,1000 a 20000
112,Lesotho,2142.252,1000 a 20000
113,Liberia,5057.677,1000 a 20000
114,Libyan Arab Jamahiriya,6871.287,1000 a 20000
115,Liechtenstein,38.137,10 a 100
116,Lithuania,2722.291,1000 a 20000
117,Luxembourg,625.976,100 a 1000
118,Macau,649.342,100 a 1000
119,Madagascar,27691.019,20000 a 50000
120,Malawi,19129.955,1000 a 20000
121,Malaysia,32365.998,20000 a 50000
122,Maldives,540.542,100 a 1000
123,Mali,20250.834,20000 a 50000
124,Malta,441.539,100 a 1000
125,Marshall Islands,59.194,10 a 100
126,Martinique,375.265,100 a 1000
127,Mauritania,4649.66,1000 a 20000
128,Mauritius,1271.767,1000 a 20000
129,Mayotte,272.813,100 a 1000
130,Mexico,128932.753,50000 a 150000
131,"Micronesia, Federated States of",115.021,100 a 1000
132,Monaco,39.244,10 a 100
133,Mongolia,3278.292,1000 a 20000
134,Montenegro,628.062,100 a 1000
135,Montserrat,4.999,1 a 10
136,Morocco,36910.558,20000 a 50000
137,Mozambique,31255.435,20000 a 50000
138,Namibia,2540.916,1000 a 20000
139,Nauru,10.834,10 a 100
140,Nepal,29136.808,20000 a 50000
141,Netherlands,17134.873,1000 a 20000
142,New Caledonia,285.491,100 a 1000
143,New Zealand,4822.233,1000 a 20000
144,Nicaragua,6624.554,1000 a 20000
145,Niger,24206.636,20000 a 50000
146,Nigeria,206139.587,150000 a 250000
147,Niue,1.618,1 a 10
148,North Macedonia,2083.38,1000 a 20000
149,Northern Mariana Islands,57.557,10 a 100
150,Norway,5421.242,1000 a 20000
151,Oman,5106.622,1000 a 20000
152,Pakistan,220892.331,150000 a 250000
153,Palau,18.092,10 a 100
154,Palestine,5101.416,1000 a 20000
155,Panama,4314.768,1000 a 20000
156,Papua New Guinea,8947.027,1000 a 20000
157,Paraguay,7132.53,1000 a 20000
158,Peru,32971.846,20000 a 50000
159,Philippines,109581.085,50000 a 150000
160,Poland,37846.605,20000 a 50000
161,Portugal,10196.707,1000 a 20000
162,Puerto Rico,2860.84,1000 a 20000
163,Qatar,2881.06,1000 a 20000
164,"Korea, Democratic People's Republic of",51269.183,50000 a 150000
165,Republic of Moldova,4033.963,1000 a 20000
166,Reunion,895.308,100 a 1000
167,Romania,19237.682,1000 a 20000
168,Russia,145934.46,50000 a 150000
169,Rwanda,12952.209,1000 a 20000
170,Saint Barthelemy,9.885,1 a 10
171,Saint Helena,6.071,1 a 10
172,Saint Kitts and Nevis,53.192,10 a 100
173,Saint Lucia,183.629,100 a 1000
174,Saint Martin,38.659,10 a 100
175,Saint Pierre and Miquelon,5.795,1 a 10
176,Saint Vincent and the Grenadines,110.947,100 a 1000
177,Samoa,198.41,100 a 1000
178,San Marino,33.938,10 a 100
179,Sao Tome and Principe,219.161,100 a 1000
180,Saudi Arabia,34813.867,20000 a 50000
181,Senegal,16743.93,1000 a 20000
182,Serbia,8737.37,1000 a 20000
183,Seychelles,98.34,10 a 100
184,Sierra Leone,7976.985,1000 a 20000
185,Singapore,5850.343,1000 a 20000
186,Slovakia,5459.643,1000 a 20000
187,Slovenia,2078.932,1000 a 20000
188,Solomon Islands,686.878,100 a 1000
189,Somalia,15893.219,1000 a 20000
190,South Africa,59308.69,50000 a 150000
191,Spain,46754.783,20000 a 50000
192,Sri Lanka,21413.25,20000 a 50000
193,Sudan,43849.269,20000 a 50000
194,Suriname,586.634,100 a 1000
195,Sweden,10099.27,1000 a 20000
196,Switzerland,8654.618,1000 a 20000
197,Syrian Arab Republic,17500.657,1000 a 20000
198,Taiwan,23816.775,20000 a 50000
199,Tajikistan,9537.642,1000 a 20000
200,Thailand,69799.978,50000 a 150000
201,Timor-Leste,1318.442,1000 a 20000
202,Togo,8278.737,1000 a 20000
203,Tokelau,1.35,1 a 10
204,Tonga,105.697,100 a 1000
205,Trinidad and Tobago,1399.491,1000 a 20000
206,Tunisia,11818.618,1000 a 20000
207,Turkey,84339.067,50000 a 150000
208,Turkmenistan,6031.187,1000 a 20000
209,Turks and Caicos Islands,38.718,10 a 100
210,Tuvalu,11.792,10 a 100
211,Uganda,45741,20000 a 50000
212,Ukraine,43733.759,20000 a 50000
213,United Arab Emirates,9890.4,1000 a 20000
214,United Kingdom,67886.004,50000 a 150000
215,United Republic of Tanzania,59734.213,50000 a 150000
216,United States,331002.647,250000 a 350000
217,United States Virgin Islands,104.423,100 a 1000
218,Uruguay,3473.727,1000 a 20000
219,Uzbekistan,33469.199,20000 a 50000
220,Vanuatu,307.15,100 a 1000
221,Venezuela,28435.943,20000 a 50000
222,Viet Nam,97338.583,50000 a 150000
223,Wallis and Futuna Islands,11.246,10 a 100
224,Western Sahara,597.33,100 a 1000
225,Yemen,29825.968,20000 a 50000
226,Zambia,18383.956,1000 a 20000
227,Zimbabwe,14862.927,1000 a 20000
