"","place","gender","age","home","time","Velocidad"
"3475",3592,"Male",52,"GBR",217.4833333,"Regular"
"13594",13853,"Female",40,"NY",272.55,"Regular"
"12012",12256,"Male",31,"FRA",265.2833333,"Regular"
"10236",10457,"Female",33,"MI",256.15,"Regular"
"9476",9686,"Male",33,"NY",252.25,"Regular"
"1720",1784,"Male",40,"NJ",201.9666667,"Regular"
"15736",16020,"Female",30,"CA",283.5666667,"Regular"
"10580",10805,"Male",27,"GBR",255.8833333,"Regular"
"11957",12201,"Male",42,"NED",264.25,"Regular"
"18933",19266,"Male",48,"B.C",306.6833333,"Lento"
"14956",15229,"Female",63,"GBR",281.2666667,"Regular"
"14987",15260,"Male",49,"ITA",280.25,"Regular"
"10447",10670,"Male",33,"NY",258.3333333,"Regular"
"10435",10658,"Male",43,"NY",257.1333333,"Regular"
"191",200,"Male",40,"GER",163.9333333,"Veloz"
"9962",10178,"Male",33,"NY",253.6166667,"Regular"
"2379",2467,"Male",40,"FRA",206.2666667,"Regular"
"10505",10729,"Male",36,"NY",257.9333333,"Regular"
"11853",12093,"Male",49,"SWE",262.1333333,"Regular"
"12181",12428,"Female",34,"NY",264.2166667,"Regular"
"2633",2730,"Male",26,"DEN",209.7333333,"Regular"
"11935",12179,"Male",50,"NED",265.25,"Regular"
"20116",20460,"Male",33,"NJ",315.2333333,"Lento"
"23043",23413,"Male",71,"FL",414.7,"Lento"
"19584",19921,"Female",39,"GER",309.2666667,"Lento"
"11640",11878,"Female",28,"GBR",261.2666667,"Regular"
"17363",17683,"Male",52,"GBR",295.3166667,"Regular"
"17611",17933,"Male",28,"NED",294.8333333,"Regular"
"9935",10151,"Male",52,"CA",254.25,"Regular"
"8713",8915,"Male",41,"BRA",248.95,"Regular"
"204",213,"Male",35,"VA",164.5,"Veloz"
"21293",21647,"Female",39,"NY",334.0166667,"Lento"
"2624",2721,"Male",48,"FRA",210.9,"Regular"
"14357",14623,"Male",33,"NED",271.0666667,"Regular"
"4583",4715,"Male",35,"MA",226.4666667,"Regular"
"10059",10277,"Male",46,"PR",256.7166667,"Regular"
"12379",12630,"Male",30,"NY",264.8333333,"Regular"
"3633",3751,"Male",42,"KY",219.1333333,"Regular"
"6695",6867,"Male",31,"ITA",237.7,"Regular"
"711",737,"Male",40,"IL",184.3,"Veloz"
"10746",10972,"Male",41,"NY",253.75,"Regular"
